[2026-06-11T07:26:50.529Z] [INFO] ApiClient initialized for https://www.brya.com
[2026-06-11T07:26:50.529Z] [INFO] GET /
[2026-06-11T07:26:50.660Z] [INFO] HEAD https://www.brya.com/_next/static/css/801cd4eae2be30b6.css
[2026-06-11T07:26:50.895Z] [INFO] HEAD https://www.brya.com/_next/static/css/e5dabe7da0a8de4b.css
[2026-06-11T07:26:51.163Z] [INFO] HEAD https://www.brya.com/_next/static/css/0e7f090af69e5839.css
[2026-06-11T07:26:51.398Z] [INFO] HEAD https://www.brya.com/_next/static/css/cb8544a4ef612ecd.css
[2026-06-11T07:26:51.673Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/webpack-e3e2529f5169c16a.js
[2026-06-11T07:26:51.979Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4bd1b696-100b9d70ed4e49c1.js
[2026-06-11T07:26:52.223Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9da6db1e-73b2aa973a9b8780.js
[2026-06-11T07:26:52.507Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1255-8862b92fc787c3fd.js
[2026-06-11T07:26:52.759Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/main-app-280283c4dddb5ed1.js
[2026-06-11T07:26:52.993Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/ee560e2c-4c87e6173a7b5331.js
[2026-06-11T07:26:53.248Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/39e18b24-78986d98cff8e162.js
[2026-06-11T07:26:53.502Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/c7fa2fc2-154a2727a35de7d5.js
[2026-06-11T07:26:53.762Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/53c13509-617eec67df943ceb.js
[2026-06-11T07:26:54.039Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8e1d74a4-c6990256990100f1.js
[2026-06-11T07:26:54.288Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/795d4814-541cc17639636796.js
[2026-06-11T07:26:54.540Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/870fdd6f-94840e121682fb27.js
[2026-06-11T07:26:54.787Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/812-563e616e82fed7d3.js
[2026-06-11T07:26:55.024Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2619-04bc32f026a0d946.js
[2026-06-11T07:26:55.300Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8381-2aee38c6b3e7afc9.js
[2026-06-11T07:26:55.568Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/302-4155030d22ffa409.js
[2026-06-11T07:26:55.894Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5889-ffb931142bdcda70.js
[2026-06-11T07:26:56.161Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1356-e227f5618279b1ef.js
[2026-06-11T07:26:56.417Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6302-246a9b4cc3026398.js
[2026-06-11T07:26:56.708Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4805-e444fc05a123a39e.js
[2026-06-11T07:26:56.971Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8923-2c5dec4c510af613.js
[2026-06-11T07:26:57.238Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9272-773502f361f26014.js
[2026-06-11T07:26:57.505Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7291-6a408920a002c548.js
[2026-06-11T07:26:57.778Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4985-2fb60cd481c8a3f9.js
[2026-06-11T07:26:58.037Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2505-efcf190b2dcd3682.js
[2026-06-11T07:26:58.291Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9936-e3f03065d518f790.js
[2026-06-11T07:26:58.560Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4492-30685143d08d24e4.js
[2026-06-11T07:26:58.846Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5938-80df1437a1da4514.js
[2026-06-11T07:26:59.083Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1924-b7cc88613c9a5cc0.js
[2026-06-11T07:26:59.378Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8667-3df8565640301d63.js
[2026-06-11T07:26:59.653Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9433-208cfb3caac53461.js
[2026-06-11T07:26:59.920Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7911-4efcff2b55897d1a.js
[2026-06-11T07:27:00.150Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6317-88007400c32f03ea.js
[2026-06-11T07:27:00.424Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/430-ea853700c4260c13.js
[2026-06-11T07:27:00.665Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/404-303da11e476efc62.js
[2026-06-11T07:27:00.913Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9919-3284e0276d40a5e5.js
