[2026-06-10T07:04:18.835Z] [INFO] ApiClient initialized for https://www.brya.com
[2026-06-10T07:04:18.836Z] [INFO] GET /
[2026-06-10T07:04:18.930Z] [INFO] HEAD https://www.brya.com/_next/static/css/801cd4eae2be30b6.css
[2026-06-10T07:04:18.981Z] [INFO] HEAD https://www.brya.com/_next/static/css/9b26637392b8e30f.css
[2026-06-10T07:04:19.351Z] [INFO] HEAD https://www.brya.com/_next/static/css/0e7f090af69e5839.css
[2026-06-10T07:04:19.750Z] [INFO] HEAD https://www.brya.com/_next/static/css/cb8544a4ef612ecd.css
[2026-06-10T07:04:20.217Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/webpack-e3e2529f5169c16a.js
[2026-06-10T07:04:20.266Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4bd1b696-100b9d70ed4e49c1.js
[2026-06-10T07:04:20.661Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9da6db1e-73b2aa973a9b8780.js
[2026-06-10T07:04:21.053Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1255-8862b92fc787c3fd.js
[2026-06-10T07:04:21.427Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/main-app-5a03591de0a94dda.js
[2026-06-10T07:04:21.804Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/ee560e2c-4c87e6173a7b5331.js
[2026-06-10T07:04:21.826Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/39e18b24-78986d98cff8e162.js
[2026-06-10T07:04:22.233Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/c7fa2fc2-154a2727a35de7d5.js
[2026-06-10T07:04:22.628Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/53c13509-617eec67df943ceb.js
[2026-06-10T07:04:23.020Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8e1d74a4-c6990256990100f1.js
[2026-06-10T07:04:23.070Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/795d4814-541cc17639636796.js
[2026-06-10T07:04:23.134Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/870fdd6f-94840e121682fb27.js
[2026-06-10T07:04:23.182Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/812-563e616e82fed7d3.js
[2026-06-10T07:04:23.231Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2619-04bc32f026a0d946.js
[2026-06-10T07:04:23.696Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8381-2aee38c6b3e7afc9.js
[2026-06-10T07:04:23.745Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/302-4155030d22ffa409.js
[2026-06-10T07:04:24.180Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5889-ffb931142bdcda70.js
[2026-06-10T07:04:24.573Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1356-e227f5618279b1ef.js
[2026-06-10T07:04:24.963Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6302-246a9b4cc3026398.js
[2026-06-10T07:04:25.354Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4805-e444fc05a123a39e.js
[2026-06-10T07:04:25.746Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9272-773502f361f26014.js
[2026-06-10T07:04:26.139Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7291-6a408920a002c548.js
[2026-06-10T07:04:26.530Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8923-2c5dec4c510af613.js
[2026-06-10T07:04:26.921Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4284-7476064de9891969.js
[2026-06-10T07:04:27.311Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/2505-efcf190b2dcd3682.js
[2026-06-10T07:04:27.701Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/974-9334e3a806913cc7.js
[2026-06-10T07:04:28.092Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/4492-30685143d08d24e4.js
[2026-06-10T07:04:28.561Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/5938-80df1437a1da4514.js
[2026-06-10T07:04:28.609Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/1924-b7cc88613c9a5cc0.js
[2026-06-10T07:04:29.003Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/8667-3df8565640301d63.js
[2026-06-10T07:04:29.394Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9433-208cfb3caac53461.js
[2026-06-10T07:04:29.793Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/7911-4efcff2b55897d1a.js
[2026-06-10T07:04:30.192Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/6317-88007400c32f03ea.js
[2026-06-10T07:04:30.585Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/430-ea853700c4260c13.js
[2026-06-10T07:04:31.058Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/404-303da11e476efc62.js
[2026-06-10T07:04:31.106Z] [INFO] HEAD https://www.brya.com/_next/static/chunks/9919-3284e0276d40a5e5.js
